step:        0 | loss:  11.2860 | norm:   1.9865 | time:     6.57 | tok/s: 10377.061406 | lr: 0.000100
step:      830 | loss:   3.6911 | norm:   2.4657 | time:  1672.19 | tok/s: 32876.714962 | lr: 0.010000
step:      840 | loss:   3.8706 | norm:   2.4405 | time:  1692.16 | tok/s: 32872.905089 | lr: 0.010000
step:      850 | loss:   3.7842 | norm:   2.1151 | time:  1712.13 | tok/s: 32850.939870 | lr: 0.010000
step:      860 | loss:   3.7859 | norm:   1.9338 | time:  1732.10 | tok/s: 32841.994839 | lr: 0.010000
step:      870 | loss:   3.7740 | norm:   2.0277 | time:  1752.07 | tok/s: 32847.128118 | lr: 0.010000
step:      880 | loss:   3.7071 | norm:   2.3678 | time:  1772.04 | tok/s: 32840.872639 | lr: 0.010000
step:      890 | loss:   3.7733 | norm:   2.0263 | time:  1792.01 | tok/s: 32871.533122 | lr: 0.010000
step:      900 | loss:   3.7129 | norm:   1.7639 | time:  1812.06 | tok/s: 32845.118570 | lr: 0.010000
step:      910 | loss:   3.7632 | norm:   1.9570 | time:  1832.03 | tok/s: 32817.821730 | lr: 0.010000
step:      920 | loss:   3.7072 | norm:   1.6737 | time:  1851.99 | tok/s: 32856.158418 | lr: 0.010000
step:      930 | loss:   3.6984 | norm:   2.1013 | time:  1871.96 | tok/s: 32865.555199 | lr: 0.010000
step:      940 | loss:   3.7995 | norm:   2.0982 | time:  1891.93 | tok/s: 32853.986767 | lr: 0.010000
step:      950 | loss:   3.6060 | norm:   2.2946 | time:  1912.01 | tok/s: 32848.431316 | lr: 0.010000
step:      960 | loss:   3.7507 | norm:   2.2752 | time:  1932.06 | tok/s: 32829.913637 | lr: 0.010000
step:      970 | loss:   3.7237 | norm:   1.9153 | time:  1952.03 | tok/s: 32871.206855 | lr: 0.010000
step:      980 | loss:   3.7431 | norm:   3.3504 | time:  1972.00 | tok/s: 32859.932984 | lr: 0.010000
step:      990 | loss:   3.6428 | norm:   1.9879 | time:  1991.97 | tok/s: 32864.293864 | lr: 0.010000
step:     1000 | loss:   3.6368 | norm:   1.8657 | time:  2012.01 | tok/s: 16627.545761 | lr: 0.010000
step:     1010 | loss:   3.6815 | norm:   1.8740 | time:  2033.92 | tok/s: 32858.416769 | lr: 0.010000
step:     1020 | loss:   3.5769 | norm:   2.0710 | time:  2053.88 | tok/s: 32866.121063 | lr: 0.010000
step:     1030 | loss:   3.6735 | norm:   2.1602 | time:  2073.84 | tok/s: 32856.315511 | lr: 0.010000
step:     1040 | loss:   3.5929 | norm:   2.5497 | time:  2093.90 | tok/s: 32869.441977 | lr: 0.010000
step:     1050 | loss:   3.6831 | norm:   1.9497 | time:  2113.85 | tok/s: 32897.037394 | lr: 0.010000
step:     1060 | loss:   3.4987 | norm:   2.1706 | time:  2133.81 | tok/s: 32908.722847 | lr: 0.010000
step:     1070 | loss:   3.7107 | norm:   1.9738 | time:  2153.76 | tok/s: 32923.705122 | lr: 0.010000
step:     1080 | loss:   3.5362 | norm:   2.5949 | time:  2173.71 | tok/s: 32860.259028 | lr: 0.010000
step:     1090 | loss:   3.6740 | norm:   1.9737 | time:  2193.65 | tok/s: 32852.357235 | lr: 0.010000
step:     1100 | loss:   3.4417 | norm:   2.3990 | time:  2213.70 | tok/s: 32832.360540 | lr: 0.010000
step:     1110 | loss:   3.6446 | norm:   1.8912 | time:  2233.68 | tok/s: 32861.661483 | lr: 0.010000
step:     1120 | loss:   3.4812 | norm:   2.0568 | time:  2253.65 | tok/s: 32850.598307 | lr: 0.010000
step:     1130 | loss:   3.5898 | norm:   2.7624 | time:  2273.61 | tok/s: 32845.927070 | lr: 0.010000
step:     1140 | loss:   3.4934 | norm:   2.0556 | time:  2293.58 | tok/s: 32831.086066 | lr: 0.010000
step:     1150 | loss:   3.7261 | norm:   1.7524 | time:  2313.64 | tok/s: 32835.780539 | lr: 0.010000
step:     1160 | loss:   3.6658 | norm:   1.9489 | time:  2333.61 | tok/s: 32857.340577 | lr: 0.010000
step:     1170 | loss:   3.6710 | norm:   2.7308 | time:  2353.57 | tok/s: 32857.701919 | lr: 0.010000
step:     1180 | loss:   3.7540 | norm:   1.7914 | time:  2373.54 | tok/s: 32841.092365 | lr: 0.010000
step:     1190 | loss:   3.6888 | norm:   2.0989 | time:  2393.50 | tok/s: 32851.854665 | lr: 0.010000
step:     1200 | loss:   3.4839 | norm:   2.1544 | time:  2413.46 | tok/s: 32850.056532 | lr: 0.010000
step:     1210 | loss:   3.5690 | norm:   1.9356 | time:  2433.42 | tok/s: 32859.893702 | lr: 0.010000
step:     1220 | loss:   3.5841 | norm:   2.4056 | time:  2453.48 | tok/s: 32826.385094 | lr: 0.010000
step:     1230 | loss:   3.6848 | norm:   1.9749 | time:  2473.45 | tok/s: 32865.056155 | lr: 0.010000
step:     1240 | loss:   3.7259 | norm:   1.9580 | time:  2493.41 | tok/s: 32858.401058 | lr: 0.010000
step:     1250 | loss:   3.6033 | norm:   2.3670 | time:  2513.38 | tok/s: 32873.781793 | lr: 0.010000
step:     1260 | loss:   3.6487 | norm:   2.1354 | time:  2533.33 | tok/s: 32860.451515 | lr: 0.010000
step:     1270 | loss:   3.6562 | norm:   1.7789 | time:  2553.29 | tok/s: 32882.464862 | lr: 0.010000
step:     1280 | loss:   3.5845 | norm:   1.9041 | time:  2573.24 | tok/s: 32852.588893 | lr: 0.010000
step:     1290 | loss:   3.5332 | norm:   1.9612 | time:  2593.21 | tok/s: 32896.368105 | lr: 0.010000
step:     1300 | loss:   3.5732 | norm:   3.3064 | time:  2613.24 | tok/s: 32836.894547 | lr: 0.010000
