Model Parameters: 163.6M
Model saved to saved_models
step:     1010 | loss:   3.3136 | norm:   1.5830 | time:  4108.22 | tok/s:  34032.5 | lr: 0.010000 | mfu:    80.31%
step:     1020 | loss:   3.2808 | norm:   1.8805 | time:  4146.78 | tok/s:  33991.5 | lr: 0.010000 | mfu:    80.21%
step:     1030 | loss:   3.3749 | norm:   1.9011 | time:  4185.36 | tok/s:  33996.3 | lr: 0.010000 | mfu:    80.22%
step:     1040 | loss:   3.2324 | norm:   1.7102 | time:  4223.99 | tok/s:  34013.2 | lr: 0.010000 | mfu:    80.26%
step:     1050 | loss:   3.3856 | norm:   1.8716 | time:  4262.57 | tok/s:  33977.6 | lr: 0.010000 | mfu:    80.18%
step:     1060 | loss:   3.5400 | norm:   1.7335 | time:  4301.15 | tok/s:  33992.0 | lr: 0.010000 | mfu:    80.21%
step:     1070 | loss:   3.3725 | norm:   1.7862 | time:  4339.73 | tok/s:  33994.0 | lr: 0.010000 | mfu:    80.22%
step:     1080 | loss:   3.7157 | norm:   1.9437 | time:  4378.36 | tok/s:  34008.3 | lr: 0.010000 | mfu:    80.25%
step:     1090 | loss:   3.3553 | norm:   1.8241 | time:  4416.91 | tok/s:  34008.5 | lr: 0.010000 | mfu:    80.25%
step:     1100 | loss:   3.3431 | norm:   1.8823 | time:  4455.49 | tok/s:  33972.4 | lr: 0.010000 | mfu:    80.17%
Model saved to saved_models
step:     1110 | loss:   3.3298 | norm:   1.6910 | time:  4505.20 | tok/s:  33979.7 | lr: 0.010000 | mfu:    80.19%
step:     1120 | loss:   3.3400 | norm:   1.8525 | time:  4543.81 | tok/s:  34008.0 | lr: 0.010000 | mfu:    80.25%
step:     1130 | loss:   3.3817 | norm:   2.0926 | time:  4582.44 | tok/s:  34015.6 | lr: 0.010000 | mfu:    80.27%
step:     1140 | loss:   3.5301 | norm:   1.7253 | time:  4621.08 | tok/s:  33993.4 | lr: 0.010000 | mfu:    80.22%
step:     1150 | loss:   3.7481 | norm:   2.4869 | time:  4659.63 | tok/s:  34021.7 | lr: 0.010000 | mfu:    80.28%
step:     1160 | loss:   3.3404 | norm:   2.0598 | time:  4698.29 | tok/s:  34000.6 | lr: 0.010000 | mfu:    80.23%
step:     1170 | loss:   3.6219 | norm:   1.9228 | time:  4736.86 | tok/s:  33985.8 | lr: 0.010000 | mfu:    80.20%
step:     1180 | loss:   3.3774 | norm:   1.6013 | time:  4775.44 | tok/s:  34010.3 | lr: 0.010000 | mfu:    80.26%
step:     1190 | loss:   3.3197 | norm:   1.8777 | time:  4814.00 | tok/s:  34004.6 | lr: 0.010000 | mfu:    80.24%
step:     1200 | loss:   3.3441 | norm:   1.7760 | time:  4852.58 | tok/s:  33943.5 | lr: 0.010000 | mfu:    80.10%
Model saved to saved_models
step:     1210 | loss:   3.2861 | norm:   2.0779 | time:  4901.96 | tok/s:  33974.3 | lr: 0.010000 | mfu:    80.17%
step:     1220 | loss:   3.2261 | norm:   1.9577 | time:  4940.51 | tok/s:  34016.2 | lr: 0.010000 | mfu:    80.27%
step:     1230 | loss:   3.3996 | norm:   1.8968 | time:  4979.09 | tok/s:  33962.9 | lr: 0.010000 | mfu:    80.15%
step:     1240 | loss:   3.2349 | norm:   1.8195 | time:  5017.67 | tok/s:  33984.7 | lr: 0.010000 | mfu:    80.20%
step:     1250 | loss:   3.2734 | norm:   1.6748 | time:  5056.26 | tok/s:  33989.3 | lr: 0.010000 | mfu:    80.21%
step:     1260 | loss:   3.3203 | norm:   1.9870 | time:  5094.89 | tok/s:  33991.6 | lr: 0.010000 | mfu:    80.21%
step:     1270 | loss:   3.2688 | norm:   1.5598 | time:  5133.44 | tok/s:  34015.9 | lr: 0.010000 | mfu:    80.27%
