W0413 09:38:14.257000 14692 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:  12.9390 | norm:   5.3237 | time:    24.46 | tok/s: 938.500756 | lr: 0.000100
step:      880 | loss:   3.8145 | norm:   2.5811 | time:  3330.30 | tok/s: 17854.429621 | lr: 0.010000
step:      890 | loss:   3.7957 | norm:   2.0762 | time:  3367.09 | tok/s: 17860.271869 | lr: 0.010000
step:      900 | loss:   3.7804 | norm:   1.8097 | time:  3403.86 | tok/s: 17869.387418 | lr: 0.010000
step:      910 | loss:   3.6196 | norm:   1.8636 | time:  3440.63 | tok/s: 17859.899363 | lr: 0.010000
step:      920 | loss:   3.6567 | norm:   2.3320 | time:  3477.48 | tok/s: 11193.533297 | lr: 0.010000
step:      930 | loss:   3.6318 | norm:   2.4447 | time:  3516.43 | tok/s: 17861.821239 | lr: 0.010000
step:      940 | loss:   3.6337 | norm:   2.2036 | time:  3553.26 | tok/s: 17865.558242 | lr: 0.010000
step:      950 | loss:   3.6793 | norm:   2.0507 | time:  3590.17 | tok/s: 17860.524856 | lr: 0.010000
step:      960 | loss:   3.7140 | norm:   2.1060 | time:  3626.95 | tok/s: 17865.698744 | lr: 0.010000
step:      970 | loss:   3.6381 | norm:   2.1312 | time:  3663.79 | tok/s: 17870.090251 | lr: 0.010000
step:      980 | loss:   3.4403 | norm:   2.5456 | time:  3700.63 | tok/s: 17859.598818 | lr: 0.010000
step:      990 | loss:   3.7384 | norm:   2.4300 | time:  3737.42 | tok/s: 17854.826253 | lr: 0.010000
step:     1000 | loss:   3.6858 | norm:   2.0848 | time:  3774.44 | tok/s: 17863.312834 | lr: 0.010000
step:     1010 | loss:   3.5962 | norm:   2.1170 | time:  3811.22 | tok/s: 17849.159103 | lr: 0.010000
step:     1020 | loss:   3.5711 | norm:   2.3827 | time:  3848.07 | tok/s: 17872.732467 | lr: 0.010000
step:     1030 | loss:   3.5059 | norm:   1.7671 | time:  3884.92 | tok/s: 17855.560417 | lr: 0.010000
step:     1040 | loss:   3.4838 | norm:   2.2557 | time:  3921.71 | tok/s: 17854.280019 | lr: 0.010000
step:     1050 | loss:   3.5629 | norm:   1.9310 | time:  3958.56 | tok/s: 17860.544585 | lr: 0.010000
step:     1060 | loss:   3.6409 | norm:   2.3398 | time:  3995.33 | tok/s: 17864.960263 | lr: 0.010000
step:     1070 | loss:   3.6413 | norm:   2.3111 | time:  4032.18 | tok/s: 17866.984265 | lr: 0.010000
step:     1080 | loss:   3.6207 | norm:   1.9507 | time:  4068.96 | tok/s: 17860.174389 | lr: 0.010000
step:     1090 | loss:   3.6837 | norm:   1.9432 | time:  4105.74 | tok/s: 17876.971637 | lr: 0.010000
step:     1100 | loss:   3.5951 | norm:   1.8603 | time:  4142.52 | tok/s: 17876.892578 | lr: 0.010000
step:     1110 | loss:   3.7843 | norm:   2.7286 | time:  4179.29 | tok/s: 17847.952631 | lr: 0.010000
step:     1120 | loss:   3.6746 | norm:   1.9887 | time:  4216.08 | tok/s: 17863.077180 | lr: 0.010000
step:     1130 | loss:   3.6171 | norm:   3.5650 | time:  4252.87 | tok/s: 17876.806543 | lr: 0.010000
step:     1140 | loss:   3.6270 | norm:   2.3023 | time:  4289.70 | tok/s: 17861.531074 | lr: 0.010000
step:     1150 | loss:   3.5076 | norm:   2.0163 | time:  4326.48 | tok/s: 17863.757459 | lr: 0.010000
step:     1160 | loss:   3.5949 | norm:   2.1371 | time:  4363.31 | tok/s: 17847.384800 | lr: 0.010000
step:     1170 | loss:   3.5864 | norm:   2.2164 | time:  4400.09 | tok/s: 17866.605673 | lr: 0.010000
step:     1180 | loss:   3.7002 | norm:   1.6765 | time:  4436.93 | tok/s: 17865.238928 | lr: 0.010000
step:     1190 | loss:   3.6272 | norm:   2.2743 | time:  4473.77 | tok/s: 17873.475078 | lr: 0.010000
step:     1200 | loss:   3.6795 | norm:   2.1716 | time:  4510.61 | tok/s: 17862.665091 | lr: 0.010000
step:     1210 | loss:   3.5991 | norm:   2.4172 | time:  4547.39 | tok/s: 17857.583450 | lr: 0.010000
step:     1220 | loss:   3.6133 | norm:   2.2266 | time:  4584.22 | tok/s: 17865.437482 | lr: 0.010000
step:     1230 | loss:   3.5657 | norm:   2.1307 | time:  4621.01 | tok/s: 17871.607629 | lr: 0.010000
step:     1240 | loss:   3.6294 | norm:   2.3697 | time:  4657.79 | tok/s: 17869.214333 | lr: 0.010000
step:     1250 | loss:   3.5995 | norm:   2.2967 | time:  4694.58 | tok/s: 17860.269548 | lr: 0.010000
