Model Parameters: 163.6M
step:    12040 | loss:   3.1220 | norm:   1.4846 | time: 48080.54 | tok/s:  34002.0 | lr: 0.010000 | mfu:    80.24%
step:    12050 | loss:   2.9814 | norm:   1.5369 | time: 48119.12 | tok/s:  33972.8 | lr: 0.010000 | mfu:    80.17%
step:    12060 | loss:   2.9948 | norm:   1.5448 | time: 48157.69 | tok/s:  34006.3 | lr: 0.010000 | mfu:    80.25%
step:    12070 | loss:   3.1426 | norm:   1.7994 | time: 48196.28 | tok/s:  33996.8 | lr: 0.010000 | mfu:    80.23%
step:    12080 | loss:   2.9106 | norm:   1.4673 | time: 48234.86 | tok/s:  33975.0 | lr: 0.010000 | mfu:    80.17%
step:    12090 | loss:   3.1009 | norm:   1.5018 | time: 48273.44 | tok/s:  33998.0 | lr: 0.010000 | mfu:    80.23%
step:    12100 | loss:   3.0587 | norm:   1.7090 | time: 48312.03 | tok/s:  33997.3 | lr: 0.010000 | mfu:    80.23%
Model saved to saved_models
step:    12110 | loss:   3.0287 | norm:   1.5616 | time: 48364.18 | tok/s:  33998.7 | lr: 0.010000 | mfu:    80.23%
step:    12120 | loss:   3.0384 | norm:   1.3871 | time: 48402.75 | tok/s:  33970.1 | lr: 0.010000 | mfu:    80.16%
step:    12130 | loss:   3.1018 | norm:   1.5736 | time: 48441.33 | tok/s:  34001.2 | lr: 0.010000 | mfu:    80.24%
step:    12140 | loss:   2.9867 | norm:   1.5744 | time: 48479.90 | tok/s:  33972.0 | lr: 0.010000 | mfu:    80.17%
step:    12150 | loss:   2.9684 | norm:   1.3792 | time: 48518.47 | tok/s:  33988.8 | lr: 0.010000 | mfu:    80.21%
step:    12160 | loss:   2.8208 | norm:   1.7519 | time: 48557.05 | tok/s:  33994.2 | lr: 0.010000 | mfu:    80.22%
step:    12170 | loss:   3.0109 | norm:   1.6940 | time: 48595.64 | tok/s:  33992.5 | lr: 0.010000 | mfu:    80.22%
step:    12180 | loss:   3.0321 | norm:   1.5930 | time: 48634.21 | tok/s:  33995.5 | lr: 0.010000 | mfu:    80.22%
step:    12190 | loss:   3.0070 | norm:   1.8994 | time: 48672.79 | tok/s:  33993.4 | lr: 0.010000 | mfu:    80.22%
step:    12200 | loss:   3.0966 | norm:   1.6077 | time: 48711.38 | tok/s:  33994.4 | lr: 0.010000 | mfu:    80.22%
Model saved to saved_models
step:    12210 | loss:   3.1068 | norm:   1.5460 | time: 48761.10 | tok/s:  33971.8 | lr: 0.010000 | mfu:    80.17%
step:    12220 | loss:   2.8836 | norm:   1.3472 | time: 48799.68 | tok/s:  33997.1 | lr: 0.010000 | mfu:    80.23%
step:    12230 | loss:   2.9023 | norm:   1.4395 | time: 48838.26 | tok/s:  33993.2 | lr: 0.010000 | mfu:    80.22%
step:    12240 | loss:   2.9034 | norm:   1.4854 | time: 48876.83 | tok/s:  34012.2 | lr: 0.010000 | mfu:    80.26%
step:    12250 | loss:   2.8904 | norm:   1.3945 | time: 48915.41 | tok/s:  34002.7 | lr: 0.010000 | mfu:    80.24%
step:    12260 | loss:   2.8066 | norm:   1.6926 | time: 48954.00 | tok/s:  33977.2 | lr: 0.010000 | mfu:    80.18%
step:    12270 | loss:   2.9284 | norm:   1.4176 | time: 48992.57 | tok/s:  34004.6 | lr: 0.010000 | mfu:    80.24%
step:    12280 | loss:   3.2255 | norm:   1.6207 | time: 49031.15 | tok/s:  33994.5 | lr: 0.010000 | mfu:    80.22%
step:    12290 | loss:   3.2650 | norm:   1.9829 | time: 49070.08 | tok/s:  30564.6 | lr: 0.010000 | mfu:    72.13%
step:    12300 | loss:   3.2212 | norm:   2.7147 | time: 49111.79 | tok/s:  32712.9 | lr: 0.010000 | mfu:    77.20%
Model saved to saved_models
step:    12310 | loss:   3.2336 | norm:   1.5245 | time: 49164.67 | tok/s:  29014.0 | lr: 0.010000 | mfu:    68.47%
step:    12320 | loss:   3.1440 | norm:   1.7096 | time: 49206.64 | tok/s:  28065.0 | lr: 0.010000 | mfu:    66.23%
step:    12330 | loss:   3.0570 | norm:   1.6877 | time: 49248.74 | tok/s:  30086.4 | lr: 0.010000 | mfu:    71.00%
step:    12340 | loss:   3.0445 | norm:   1.6878 | time: 49292.52 | tok/s:  34000.0 | lr: 0.010000 | mfu:    80.23%
step:    12350 | loss:   3.0208 | norm:   1.5394 | time: 49331.97 | tok/s:  33852.1 | lr: 0.010000 | mfu:    79.88%
step:    12360 | loss:   2.9943 | norm:   1.5018 | time: 49370.79 | tok/s:  33957.3 | lr: 0.010000 | mfu:    80.13%
step:    12370 | loss:   3.0250 | norm:   1.6217 | time: 49409.65 | tok/s:  33729.0 | lr: 0.010000 | mfu:    79.59%
step:    12380 | loss:   3.0369 | norm:   1.6776 | time: 49448.53 | tok/s:  33802.7 | lr: 0.010000 | mfu:    79.77%
step:    12390 | loss:   3.1079 | norm:   1.6310 | time: 49487.33 | tok/s:  33863.2 | lr: 0.010000 | mfu:    79.91%
step:    12400 | loss:   3.1608 | norm:   1.7667 | time: 49526.10 | tok/s:  33745.8 | lr: 0.010000 | mfu:    79.63%
Model saved to saved_models
step:    12410 | loss:   3.0280 | norm:   1.5511 | time: 49574.14 | tok/s:  33665.3 | lr: 0.010000 | mfu:    79.44%
step:    12420 | loss:   3.0070 | norm:   1.4222 | time: 49613.04 | tok/s:  33907.7 | lr: 0.010000 | mfu:    80.02%
step:    12430 | loss:   2.9117 | norm:   1.5059 | time: 49651.86 | tok/s:  33872.6 | lr: 0.010000 | mfu:    79.93%
step:    12440 | loss:   2.9020 | norm:   1.4462 | time: 49690.82 | tok/s:  33958.8 | lr: 0.010000 | mfu:    80.14%
step:    12450 | loss:   2.9493 | norm:   1.5418 | time: 49729.63 | tok/s:  33447.4 | lr: 0.010000 | mfu:    78.93%
step:    12460 | loss:   3.0142 | norm:   1.3880 | time: 49768.56 | tok/s:  33767.3 | lr: 0.010000 | mfu:    79.68%
step:    12470 | loss:   2.9534 | norm:   1.6179 | time: 49808.03 | tok/s:  33582.1 | lr: 0.010000 | mfu:    79.25%
step:    12480 | loss:   2.8645 | norm:   1.3774 | time: 49846.86 | tok/s:  33866.9 | lr: 0.010000 | mfu:    79.92%
