W0419 16:48:11.112000 29508 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:  28.0287 | norm:  35.5210 | time:     5.31 | tok/s:   2850.5 | lr: 0.000100 | mfu:     9.04%
step:      160 | loss:   5.0320 | norm:   2.6771 | time:   875.83 | tok/s:  25785.9 | lr: 0.008100 | mfu:    81.82%
step:      170 | loss:   4.9763 | norm:   2.8776 | time:   926.69 | tok/s:  25763.2 | lr: 0.008600 | mfu:    81.75%
step:      180 | loss:   4.9714 | norm:   3.2138 | time:   977.61 | tok/s:  25792.3 | lr: 0.009100 | mfu:    81.84%
step:      190 | loss:   4.8526 | norm:   2.7171 | time:  1028.64 | tok/s:  25777.9 | lr: 0.009600 | mfu:    81.80%
step:      200 | loss:   4.7683 | norm:   4.9330 | time:  1079.50 | tok/s:  25788.8 | lr: 0.010100 | mfu:    81.83%
step:      210 | loss:   4.5998 | norm:   2.5169 | time:  1130.41 | tok/s:  25759.4 | lr: 0.010000 | mfu:    81.74%
step:      220 | loss:   4.6606 | norm:   2.2898 | time:  1181.27 | tok/s:  25768.1 | lr: 0.010000 | mfu:    81.76%
step:      230 | loss:   4.5753 | norm:   2.7352 | time:  1232.14 | tok/s:  17837.7 | lr: 0.010000 | mfu:    56.60%
step:      240 | loss:   4.5600 | norm:   2.8135 | time:  1285.33 | tok/s:  25782.5 | lr: 0.010000 | mfu:    81.81%
step:      250 | loss:   4.4243 | norm:   2.1231 | time:  1336.26 | tok/s:  25781.1 | lr: 0.010000 | mfu:    81.81%
step:      260 | loss:   4.6492 | norm:   3.6631 | time:  1387.14 | tok/s:  25749.1 | lr: 0.010000 | mfu:    81.70%
step:      270 | loss:   4.4396 | norm:   4.5039 | time:  1438.02 | tok/s:  25769.7 | lr: 0.010000 | mfu:    81.77%
step:      280 | loss:   4.3795 | norm:   2.3703 | time:  1488.90 | tok/s:  25766.9 | lr: 0.010000 | mfu:    81.76%
step:      290 | loss:   4.2804 | norm:   2.4174 | time:  1539.78 | tok/s:  25788.6 | lr: 0.010000 | mfu:    81.83%
step:      300 | loss:   4.2963 | norm:   2.6303 | time:  1590.65 | tok/s:  25787.4 | lr: 0.010000 | mfu:    81.83%
