W0417 09:19:02.263000 12996 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:  10.8783 | norm:   1.8307 | time:    15.40 | tok/s:   1579.4 | lr: 0.000100
step:     1010 | loss:   3.5429 | norm:   1.4314 | time:  2692.20 | tok/s:  25108.5 | lr: 0.010000
step:     1020 | loss:   3.4936 | norm:   1.3673 | time:  2718.32 | tok/s:  25117.0 | lr: 0.010000
step:     1030 | loss:   3.4527 | norm:   1.1561 | time:  2744.44 | tok/s:  25111.6 | lr: 0.010000
step:     1040 | loss:   3.4104 | norm:   1.4389 | time:  2770.55 | tok/s:  25104.1 | lr: 0.010000
step:     1050 | loss:   3.4952 | norm:   1.1939 | time:  2796.67 | tok/s:  25118.0 | lr: 0.010000
step:     1060 | loss:   3.5842 | norm:   1.3035 | time:  2822.78 | tok/s:  25117.4 | lr: 0.010000
step:     1070 | loss:   3.5888 | norm:   1.3904 | time:  2848.89 | tok/s:  25104.8 | lr: 0.010000
step:     1080 | loss:   3.5637 | norm:   1.5123 | time:  2875.01 | tok/s:  25121.0 | lr: 0.010000
step:     1090 | loss:   3.6396 | norm:   1.0348 | time:  2901.13 | tok/s:  25108.3 | lr: 0.010000
step:     1100 | loss:   3.5459 | norm:   1.3536 | time:  2927.30 | tok/s:  25130.4 | lr: 0.010000
step:     1110 | loss:   3.6941 | norm:   1.3555 | time:  2953.40 | tok/s:  25122.6 | lr: 0.010000
step:     1120 | loss:   3.6164 | norm:   1.2241 | time:  2979.58 | tok/s:  25136.9 | lr: 0.010000
step:     1130 | loss:   3.4980 | norm:   1.6944 | time:  3005.90 | tok/s:  25134.8 | lr: 0.010000
step:     1140 | loss:   3.5590 | norm:   1.6982 | time:  3032.01 | tok/s:  25102.5 | lr: 0.010000
step:     1150 | loss:   3.4624 | norm:   1.4286 | time:  3058.13 | tok/s:  25119.5 | lr: 0.010000
step:     1160 | loss:   3.5383 | norm:   1.4764 | time:  3084.24 | tok/s:  25111.4 | lr: 0.010000
step:     1170 | loss:   3.5126 | norm:   1.2797 | time:  3110.35 | tok/s:  25124.7 | lr: 0.010000
step:     1180 | loss:   3.6464 | norm:   1.0481 | time:  3136.46 | tok/s:  25119.7 | lr: 0.010000
step:     1190 | loss:   3.5441 | norm:   1.2503 | time:  3162.57 | tok/s:  25122.6 | lr: 0.010000
step:     1200 | loss:   3.6198 | norm:   1.3583 | time:  3188.68 | tok/s:  25119.6 | lr: 0.010000
step:     1210 | loss:   3.5191 | norm:   1.3639 | time:  3214.80 | tok/s:  25122.2 | lr: 0.010000
step:     1220 | loss:   3.5327 | norm:   1.4854 | time:  3240.90 | tok/s:  25114.3 | lr: 0.010000
step:     1230 | loss:   3.5013 | norm:   1.3046 | time:  3267.01 | tok/s:  25128.2 | lr: 0.010000
step:     1240 | loss:   3.5643 | norm:   1.2659 | time:  3293.12 | tok/s:  25108.6 | lr: 0.010000
step:     1250 | loss:   3.5378 | norm:   1.3560 | time:  3319.23 | tok/s:  25122.1 | lr: 0.010000
step:     1260 | loss:   3.4962 | norm:   1.2220 | time:  3345.34 | tok/s:  25092.5 | lr: 0.010000
step:     1270 | loss:   3.5154 | norm:   1.3104 | time:  3371.46 | tok/s:  25121.0 | lr: 0.010000
step:     1280 | loss:   3.5025 | norm:   1.3550 | time:  3397.58 | tok/s:  25099.3 | lr: 0.010000
step:     1290 | loss:   3.4783 | norm:   1.3706 | time:  3423.76 | tok/s:  25129.1 | lr: 0.010000
step:     1300 | loss:   3.5673 | norm:   1.2869 | time:  3449.86 | tok/s:  25107.1 | lr: 0.010000
step:     1310 | loss:   3.3683 | norm:   1.3810 | time:  3475.97 | tok/s:  25117.0 | lr: 0.010000
step:     1320 | loss:   3.3221 | norm:   1.4837 | time:  3502.09 | tok/s:  25108.5 | lr: 0.010000
step:     1330 | loss:   3.4892 | norm:   1.3311 | time:  3528.21 | tok/s:  25112.5 | lr: 0.010000
step:     1340 | loss:   3.5347 | norm:   1.3318 | time:  3554.32 | tok/s:  25119.1 | lr: 0.010000
step:     1350 | loss:   3.5613 | norm:   1.4211 | time:  3580.43 | tok/s:  25112.1 | lr: 0.010000
step:     1360 | loss:   3.4726 | norm:   1.4276 | time:  3606.54 | tok/s:  25106.2 | lr: 0.010000
step:     1370 | loss:   3.4086 | norm:   1.3162 | time:  3632.66 | tok/s:  25111.6 | lr: 0.010000
step:     1380 | loss:   3.5315 | norm:   1.6083 | time:  3658.77 | tok/s:  25121.1 | lr: 0.010000
step:     1390 | loss:   3.5092 | norm:   1.4491 | time:  3684.94 | tok/s:  25156.9 | lr: 0.010000
step:     1400 | loss:   3.4999 | norm:   1.4509 | time:  3711.02 | tok/s:  25142.0 | lr: 0.010000
step:     1410 | loss:   3.3912 | norm:   1.9600 | time:  3737.15 | tok/s:  25184.0 | lr: 0.010000
step:     1420 | loss:   3.6315 | norm:   1.3398 | time:  3763.21 | tok/s:  25163.3 | lr: 0.010000
step:     1430 | loss:   3.4346 | norm:   1.2522 | time:  3789.26 | tok/s:  25177.4 | lr: 0.010000
step:     1440 | loss:   3.4349 | norm:   1.1897 | time:  3815.32 | tok/s:  25162.4 | lr: 0.010000
step:     1450 | loss:   3.4463 | norm:   1.2956 | time:  3841.38 | tok/s:  25148.9 | lr: 0.010000
step:     1460 | loss:   3.3892 | norm:   1.2787 | time:  3867.52 | tok/s:  25172.4 | lr: 0.010000
step:     1470 | loss:   3.4661 | norm:   1.2791 | time:  3893.57 | tok/s:  25155.1 | lr: 0.010000
step:     1480 | loss:   3.3289 | norm:   1.3248 | time:  3919.65 | tok/s:  25101.7 | lr: 0.010000
step:     1490 | loss:   3.4175 | norm:   1.2504 | time:  3945.76 | tok/s:  25090.5 | lr: 0.010000
step:     1500 | loss:   3.3976 | norm:   1.2964 | time:  3971.87 | tok/s:  25120.0 | lr: 0.010000
step:     1510 | loss:   3.3633 | norm:   1.4936 | time:  3997.98 | tok/s:  25100.0 | lr: 0.010000
