step:        0 | loss:  11.2897 | norm:   2.0030 | time:     6.91 | tok/s: 10362.388817 | lr: 0.000100
step:     1120 | loss:   3.4740 | norm:   2.5478 | time:  2247.04 | tok/s: 32830.654728 | lr: 0.010000
step:     1130 | loss:   3.5580 | norm:   1.9011 | time:  2267.01 | tok/s: 32833.137037 | lr: 0.010000
step:     1140 | loss:   3.5063 | norm:   1.8915 | time:  2286.98 | tok/s: 32833.058601 | lr: 0.010000
step:     1150 | loss:   3.7199 | norm:   2.2728 | time:  2306.96 | tok/s: 32858.962748 | lr: 0.010000
step:     1160 | loss:   3.6595 | norm:   2.3071 | time:  2326.92 | tok/s: 32838.793240 | lr: 0.010000
step:     1170 | loss:   3.6696 | norm:   2.2014 | time:  2346.89 | tok/s: 32820.000359 | lr: 0.010000
step:     1180 | loss:   3.7624 | norm:   2.2482 | time:  2366.87 | tok/s: 32820.635193 | lr: 0.010000
step:     1190 | loss:   3.6840 | norm:   2.3738 | time:  2386.84 | tok/s: 32828.843232 | lr: 0.010000
step:     1200 | loss:   3.4887 | norm:   2.3486 | time:  2406.81 | tok/s: 32832.835061 | lr: 0.010000
step:     1210 | loss:   3.5671 | norm:   2.0239 | time:  2426.78 | tok/s: 32818.405542 | lr: 0.010000
step:     1220 | loss:   3.5777 | norm:   1.9041 | time:  2446.75 | tok/s: 32852.251223 | lr: 0.010000
step:     1230 | loss:   3.6866 | norm:   2.2658 | time:  2466.72 | tok/s: 32831.721330 | lr: 0.010000
step:     1240 | loss:   3.7330 | norm:   2.4635 | time:  2486.69 | tok/s: 32833.956712 | lr: 0.010000
step:     1250 | loss:   3.6035 | norm:   2.4890 | time:  2506.66 | tok/s: 32869.206151 | lr: 0.010000
step:     1260 | loss:   3.6285 | norm:   1.8241 | time:  2526.63 | tok/s: 32825.518756 | lr: 0.010000
step:     1270 | loss:   3.6731 | norm:   2.0599 | time:  2546.60 | tok/s: 32845.114646 | lr: 0.010000
step:     1280 | loss:   3.5843 | norm:   2.0596 | time:  2566.57 | tok/s: 32825.252200 | lr: 0.010000
step:     1290 | loss:   3.5170 | norm:   1.9660 | time:  2586.55 | tok/s: 32825.949959 | lr: 0.010000
step:     1300 | loss:   3.5547 | norm:   1.9945 | time:  2606.52 | tok/s: 32812.051328 | lr: 0.010000
step:     1310 | loss:   3.5276 | norm:   2.2368 | time:  2626.49 | tok/s: 32841.531824 | lr: 0.010000
step:     1320 | loss:   3.6324 | norm:   2.2546 | time:  2646.46 | tok/s: 32831.909561 | lr: 0.010000
step:     1330 | loss:   3.5747 | norm:   2.6157 | time:  2666.44 | tok/s: 32865.213332 | lr: 0.010000
step:     1340 | loss:   3.6651 | norm:   2.3492 | time:  2686.40 | tok/s: 32846.158638 | lr: 0.010000
step:     1350 | loss:   3.5408 | norm:   2.4868 | time:  2706.37 | tok/s: 32835.702091 | lr: 0.010000
step:     1360 | loss:   3.5236 | norm:   1.9838 | time:  2726.34 | tok/s: 32833.042914 | lr: 0.010000
step:     1370 | loss:   3.5100 | norm:   2.0118 | time:  2746.31 | tok/s: 32840.044771 | lr: 0.010000
step:     1380 | loss:   3.6637 | norm:   2.0251 | time:  2766.28 | tok/s: 32845.354051 | lr: 0.010000
step:     1390 | loss:   3.5584 | norm:   1.7486 | time:  2786.25 | tok/s: 32817.708104 | lr: 0.010000
step:     1400 | loss:   3.5492 | norm:   2.2766 | time:  2806.22 | tok/s: 32844.631920 | lr: 0.010000
step:     1410 | loss:   3.6286 | norm:   1.9635 | time:  2826.19 | tok/s: 32849.958387 | lr: 0.010000
step:     1420 | loss:   3.4349 | norm:   1.9296 | time:  2846.18 | tok/s: 32842.312679 | lr: 0.010000
step:     1430 | loss:   3.4310 | norm:   1.9165 | time:  2866.14 | tok/s: 32864.175987 | lr: 0.010000
step:     1440 | loss:   3.5068 | norm:   2.1173 | time:  2886.11 | tok/s: 32826.726153 | lr: 0.010000
step:     1450 | loss:   3.4381 | norm:   2.6751 | time:  2906.09 | tok/s: 32833.172333 | lr: 0.010000
step:     1460 | loss:   4.1470 | norm:   2.7382 | time:  2926.06 | tok/s: 32837.322126 | lr: 0.010000
step:     1470 | loss:   3.5099 | norm:   2.3099 | time:  2946.03 | tok/s: 32827.451418 | lr: 0.010000
step:     1480 | loss:   3.5555 | norm:   2.0984 | time:  2966.01 | tok/s: 32821.109376 | lr: 0.010000
step:     1490 | loss:   3.3798 | norm:   2.0354 | time:  2985.99 | tok/s: 32852.553555 | lr: 0.010000
step:     1500 | loss:   3.6685 | norm:   2.5025 | time:  3005.95 | tok/s: 32865.456961 | lr: 0.010000
step:     1510 | loss:   3.4353 | norm:   1.9916 | time:  3026.02 | tok/s: 32831.497808 | lr: 0.010000
step:     1520 | loss:   3.5226 | norm:   2.7241 | time:  3046.01 | tok/s: 32839.621045 | lr: 0.010000
step:     1530 | loss:   3.4216 | norm:   1.7672 | time:  3066.00 | tok/s: 32776.592096 | lr: 0.010000
step:     1540 | loss:   3.4302 | norm:   2.2051 | time:  3085.99 | tok/s: 32808.757664 | lr: 0.010000
step:     1550 | loss:   3.4039 | norm:   1.9600 | time:  3105.97 | tok/s: 32783.081157 | lr: 0.010000
step:     1560 | loss:   3.4351 | norm:   4.0059 | time:  3125.95 | tok/s: 32847.461758 | lr: 0.010000
step:     1570 | loss:   3.4631 | norm:   2.0517 | time:  3145.93 | tok/s: 32825.397238 | lr: 0.010000
step:     1580 | loss:   3.4759 | norm:   2.2170 | time:  3165.91 | tok/s: 32815.737413 | lr: 0.010000
step:     1590 | loss:   3.3948 | norm:   1.8616 | time:  3185.89 | tok/s: 32776.263802 | lr: 0.010000
step:     1600 | loss:   3.3355 | norm:   2.1368 | time:  3205.87 | tok/s: 32849.522627 | lr: 0.010000
step:     1610 | loss:   3.3763 | norm:   2.2248 | time:  3225.85 | tok/s: 32823.402106 | lr: 0.010000
step:     1620 | loss:   3.3506 | norm:   2.1249 | time:  3245.83 | tok/s: 32827.525907 | lr: 0.010000
step:     1630 | loss:   3.3978 | norm:   2.0851 | time:  3265.81 | tok/s: 32812.168831 | lr: 0.010000
step:     1640 | loss:   3.4699 | norm:   2.0317 | time:  3285.80 | tok/s: 32802.505046 | lr: 0.010000
step:     1650 | loss:   3.4596 | norm:   1.9174 | time:  3305.78 | tok/s: 32803.777302 | lr: 0.010000
step:     1660 | loss:   3.5923 | norm:   3.3738 | time:  3325.77 | tok/s: 32841.924209 | lr: 0.010000
step:     1670 | loss:   3.4982 | norm:   2.4381 | time:  3345.75 | tok/s: 32824.534872 | lr: 0.010000
